VICTIM AGE DISTRIBUTION,,
Category,Count,
20-29,1425782,
30-39,1250901,
40-49,798971,
19-Oct,706876,
50-59,502769,
60-69,239066,
0-9,214102,
70-79,69725,
Unknown,67614,
80-89,16637,
90-Older,4581,
,,
OFFENDER SEX,,
Category,Count,
Male,3388222,
Female,1035692,
Unknown,209326,
Not Specified,401412,
,,
VICTIM SEX,,
Category,Count,
Male,2853063,
Female,2413675,
Unknown,30286,
,,
OFFENDER RACE,,
Category,Count,
White,2231378,
Black or African American,1893694,
Not Specified,401412,
Unknown,373942,
American Indian or Alaska Native,68793,
Asian,50759,
Native Hawaiian or Other Pacific Islander,14674,
,,
VICTIM RACE,,
Category,Count,
White,2920862,
Black or African American,2025321,
Unknown,194234,
Asian,71280,
American Indian or Alaska Native,69802,
Native Hawaiian or Other Pacific Islander,15525,
,,
OFFENDER ETHNICITY,,
Category,Count,
Not Hispanic or Latino,2077464,
Not Specified,1656258,
Unknown,731651,
Hispanic or Latino,569279,
,,
VICTIM ETHNICITY,,
Category,Count,
Not Hispanic or Latino,3256415,
Hispanic or Latino,797585,
Not Specified,668621,
Unknown,574403,
,,
VICTIM RELATIONSHIP TO OFFENDER,,
Relationship,Count,
Relationship Unknown,1362601,
Stranger,992889,
Acquaintance,744947,
Boyfriend/Girlfriend,722262,
Otherwise Known,517922,
Spouse,235791,
Child,180525,
Offender,142041,
Other Family Member,140496,
Parent,133268,
Friend,127337,
Sibling,125890,
Neighbor,117318,
Ex-Relationship (Ex-Boyfriend/Girlfriend),114346,
Ex-Spouse,45847,
Common-Law Spouse,27420,
In-law,24965,
Stepchild,22689,
Child of Boyfriend or Girlfriend,19682,
Stepparent,18555,
Grandparent,13344,
Grandchild,9262,
Employee,8761,
Homosexual Relationship,7189,
Employer,4627,
Babysittee,3697,
Stepsibling,3490,
Cohabitant (non-intimate relationship),710,
Foster Child,19,
Foster Parent,17,
,,
WEAPON USED FOR ASSAULT,,
Weapon,Count,
Personal Weapons,1073169,
Handgun,1054702,
Knife/Cutting Instrument,870805,
Firearm,626843,
Blunt Object,543908,
Other,494755,
Motor Vehicle/Vessel,301450,
Asphyxiation,133729,
None,126954,
Unknown,110675,
Rifle,86643,
Other Firearm,51126,
Shotgun,43624,
Handgun (Automatic),38556,
Firearm (Automatic),16192,
Fire/Incendiary Device,13710,
Drugs/Narcotics/Sleeping Pills,8792,
Poison,6175,
Rifle (Automatic),5241,
Explosives,3307,
Other Firearm (Automatic),1321,
Shotgun (Automatic),585,
Club/Blackjack/Brass Knuckles,2,
Lethal Cutting Instrument,1,
,,
LOCATION TYPE,,
Location,Count,
Residence/Home,2896668,
Highway/Road/Alley/Street/Sidewalk,1132859,
Parking/Drop Lot/Garage,304524,
Other/Unknown,150187,
Hotel/Motel/Etc.,83456,
Bar/Nightclub,80796,
Convenience Store,63777,
Restaurant,59464,
Park/Playground,55637,
School-Elementary/Secondary,52802,
Jail/Prison/Penitentiary/Corrections Facility,52673,
Service/Gas Station,51444,
Drug Store/Doctor's Office/Hospital,40333,
Commercial/Office Building,35525,
